timestamp,open,high,low,close,volume
2026-01-01 00:00:00,100.00,101.50,99.50,101.00,1500
2026-01-01 00:01:00,101.00,102.00,100.80,101.50,1200
2026-01-01 00:02:00,101.50,101.60,98.50,99.00,2500
2026-01-01 00:03:00,99.00,99.50,98.20,98.80,1800
2026-01-01 00:04:00,98.80,100.20,98.50,100.00,1100
2026-01-01 00:05:00,100.00,100.80,99.70,100.50,900
2026-01-01 00:06:00,100.50,101.20,100.30,101.00,1300
2026-01-01 00:07:00,101.00,101.80,100.90,101.60,1100
2026-01-01 00:08:00,101.60,102.50,101.40,102.20,1400
2026-01-01 00:09:00,102.20,102.30,101.10,101.50,1600
